name,pubCode,description,startDate,endDate
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,2022-12-31T00:00:00Z
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,
"samplingImpractical","onshore protocols only","sampling not required when only onshore protocols are scheduled",2012-01-01T00:00:00Z,
"samplingImpractical","night fishing","sampling not required when night fishing",2012-01-01T00:00:00Z,
"samplingImpractical","obstruction","sample not collected due to an obstruction in sampling area",2012-01-01T00:00:00Z,
"vst.bandCondition","ok","Dendrometer band in good condition",2019-01-01T00:00:00Z,
"vst.bandCondition","reset","Dendrometer band undamaged but location has shifted, gap measured prior to resetting",2019-01-01T00:00:00Z,
"vst.bandCondition","replaced","Dendrometer band damaged, no measurement possible, band replaced",2019-01-01T00:00:00Z,
"vst.bandCondition","measuredAndReplaced","Dendrometer band damaged, lower quality measurement made, band replaced",2019-01-01T00:00:00Z,
"vst.canopyPosition","Open grown","Full sun, not touching other plants, with crowns that have received full light from above and from all sides throughout most of its life, particularly during its early developmental period",2012-01-01T00:00:00Z,
"vst.canopyPosition","Full sun","Crown receiving full light from above and partly from the sides. Their crown form or shape appears to be free of influence from neighboring plants",2012-01-01T00:00:00Z,
"vst.canopyPosition","Partially shaded","Crown receive full light from above but little direct sunlight penetrates their sides",2012-01-01T00:00:00Z,
"vst.canopyPosition","Mostly shaded","Individuals that receive little direct light from above and none from the sides",2012-01-01T00:00:00Z,
"vst.canopyPosition","Full shade","Individuals that receive no direct sunlight either from above or the sides",2012-01-01T00:00:00Z,
"vst.changedMeasurementLocation","noChange","measurement location is consistent with previous measurement location",2020-01-01T00:00:00Z,
"vst.changedMeasurementLocation","deformityGrowth","growth of a deformity compromises past measurement location",2020-01-01T00:00:00Z,
"vst.changedMeasurementLocation","branchGrowth","growth of a branch compromises past measurement location",2020-01-01T00:00:00Z,
"vst.changedMeasurementLocation","damage","localized damage compromises past measurement location",2020-01-01T00:00:00Z,
"vst.changedMeasurementLocation","newRootingPoint","the measurement location is shifted relative to a new rooting point",2020-01-01T00:00:00Z,
"vst.changedMeasurementLocation","boleChange","a different emergent bole is selected for measurement",2020-01-01T00:00:00Z,
"vst.changedMeasurementLocation","protocolChange","measurement requirements changed between protocol versions",2020-01-01T00:00:00Z,
"vst.dataCollected","allGrowthForms","All qualifying growth forms measured",2019-01-01T00:00:00Z,
"vst.dataCollected","dendrometerOnly","Only stems with dendrometer bands measured",2019-01-01T00:00:00Z,
"vst.dataCollected","partial","Scheduled sampling partially completed. This is a protocol deviation and should occur infrequently.",2018-01-01T00:00:00Z,
"vst.eventType","towerSubset","Subset of plots measured for productivity analyses",2019-01-01T00:00:00Z,
"vst.eventType","distributedAndTowerSubset","All Distributed plots and a subset of Tower plots measured",2019-01-01T00:00:00Z,
"vst.eventType","allTowerPlots","All Tower plots measured",2019-01-01T00:00:00Z,
"vst.eventType","distributedOnly","Only Distributed plots measured",2020-01-01T00:00:00Z,
"vst.growthForm","single bole tree","Tree with single primary supporting stem",2012-01-01T00:00:00Z,
"vst.growthForm","multi-bole tree","Tree with multiple primary supporting stems",2012-01-01T00:00:00Z,
"vst.growthForm","small tree","Tree with diameter between 1 and 10 cm. and height > 130 centimeters",2012-01-01T00:00:00Z,
"vst.growthForm","sapling","Young tree with diameter < 1 cm at 10cm along the stem",2012-01-01T00:00:00Z,
"vst.growthForm","liana","Non self-supporting woody plant",2012-01-01T00:00:00Z,
"vst.growthForm","single shrub","A self-supporting individual, typically with multiple primary stems, at least one of which has a diameter > 1 centimeter at 130 centimeters high",2012-01-01T00:00:00Z,
"vst.growthForm","small shrub","A self-supporting individual, typically with multiple primary stems, at least one of which has a diameter > 1 centimeter at 10 centimeters high",2012-01-01T00:00:00Z,
"vst.growthForm","fern","Spore bearing vascular species with frond length >30 centimeters, excluding tree ferns",2012-01-01T00:00:00Z,
"vst.growthForm","cactus","Any member of the family Cactaceae",2012-01-01T00:00:00Z,
"vst.growthForm","yucca","Yucca, agave and other non-woody, basal rosette subshrubs",2012-01-01T00:00:00Z,
"vst.growthForm","xerophyllum","Any member of the genus Xerophyllum",2012-01-01T00:00:00Z,
"vst.growthForm","palm","Any member of the family Arecaceae",2012-01-01T00:00:00Z,2023-04-01T00:00:00Z
"vst.growthForm","ocotillo","Foquieria splendens and all associated subspecies",2012-01-01T00:00:00Z,
"vst.growthForm","tree fern","Large palmlike ferns with a trunklike stem bearing a crown of large fronds (e.g. Cibotium spp. and Sadleria spp.)",2018-01-01T00:00:00Z,2023-04-01T00:00:00Z
"vst.growthForm","palm tree","Member of the family Arecaceae with DBH > 10 cm AND stem length > 130",2012-01-01T00:00:00Z,
"vst.growthForm","small palm","Member of the family Arecaceae with DBH < 10 cm or stem length < 130",2012-01-01T00:00:00Z,
"vst.growthForm","large tree fern","Large palmlike ferns with a trunklike stem bearing a crown of large fronds (e.g. Cibotium spp. and Sadleria spp.) with DBH > 10 cm AND stem length > 130 cm",2018-01-01T00:00:00Z,
"vst.growthForm","small tree fern","Large palmlike ferns with a trunklike stem bearing a crown of large fronds (e.g. Cibotium spp. and Sadleria spp.) with DBH < 10 cm OR stem length < 130 cm",2018-01-01T00:00:00Z,
"vst.nestedSubplotArea","1","Data collected within 1 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","3","Data collected within 3 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","10","Data collected within 10 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","25","Data collected within 25 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","50","Data collected within 50 m2 sampling areas",2022-01-01T00:00:00Z,
"vst.nestedSubplotArea","100","Data collected within 100 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","noneSelected","No nested subplot area defined, data are collected within the entire subplot",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","unknown","Nested subplot area not recorded actual sampling area is not known for certain.",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","notAssessed","Vegetation type not considered for the specified event type",2019-01-01T00:00:00Z,
"vst.plantStatus","Live","Any live, undamaged individual  (new, re-measured or ingrowth)",2012-01-01T00:00:00Z,
"vst.plantStatus","Standing dead","Standing dead tree or standing dead bole within a multi-bole tree, regardless of cause of death. The entire tree or bole must be dead, and the main bole is NOT broken",2012-01-01T00:00:00Z,
"vst.plantStatus","Removed","An individual that has been cut and removed by direct human activity related to harvesting, silviculture or land clearing (re-measurement plots only)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, insect damaged","Visible damage caused by insects; note 'crown' or 'bole' damage in remarks, and indicate type of insect causing damage if possible (e.g., mountain pine beetle, gypsy moth, etc.)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, disease damaged","Visible damage cause by disease; note 'crown' or 'bole' damage in remarks, and indicate type of disease causing damage if possible (e.g., Blister Rust, rot, canker, other (specify), unknown",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, physically damaged","Visible damage not caused by disease or insects; note 'crown' or 'bole' damage in remarks, and indicate type of physical damage if possible (e.g., broken stem, bole scar, girdling, snow/ice damage, crushed, lightning, crown scorch, bole scorch)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live,  other damage","Visible damage of unknown origin; note 'crown' or 'bole' damage in remarks, and note cause if possible",2012-01-01T00:00:00Z,
"vst.plantStatus","No longer qualifies","Individual is still alive and may qualify in the future, but does not currently qualify. Reason noted in remarks (e.g., consumption of qualifying boles / stems by fire, blow-down of qualifying boles / stems, etc.)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, broken bole","Tree with broken spike top, tree with broken main bole and ascending leaders, tree broken and dead at top but live below",2012-01-01T00:00:00Z,
"vst.plantStatus","Dead, broken bole","All parts of the broken tree are dead; may have broken spike top, or dead leaders ascending beyond the break point. Indicate factors associated with death and the source of damage in order of importance in the remarks field",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, burned","A previously measured individual that is not measured in the current bout because the plot has been burned and the individual could not be located for remeasurement",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, herbivory","A previously measured individual that is not measured in the current bout because the individual could not be located for remeasurement. Cause of loss is presumed to be herbivory",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, presumed dead","A previously measured individual that is not measured in the current bout because the individual could not be located for remeasurement, the individual is presumed dead based on evidence within the plot. Note in remarks reason (i.e. blowdown event)",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, tag damaged","A previously measured individual that is not measured in the current bout due to inability to re-locate because of widespread damage to tags within a plot",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.plantStatus","Lost, fate unknown","A previously measured individual that is not measured in the current bout note because the individual could not be relocated",2012-01-01T00:00:00Z,
"vst.plantStatus","Downed","Part or all of a dead tree is down, and in contact with the ground. Percent of the bole in direct contact with the ground recorded in remarks",2012-01-01T00:00:00Z,
"vst.recordType","map and tag","Permanently tagged individual with taxonomic data, general location and within plot relative position mapping",2012-01-01T00:00:00Z,
"vst.recordType","tag only","Permanently tagged individual with taxonomic data and general location (e.g. plot, subplot)",2012-01-01T00:00:00Z,
"vst.recordType","temporary","Temporary tag for an individual that is not tracked through time; contains taxonomic and general location data",2012-01-01T00:00:00Z,
"vst.recordType","band","Permanently tagged individual with taxonomic data, relative mapping and dendrometer band installed",2019-08-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vA","Data collected according to protocol version A",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vB","Data collected according to protocol version B",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vC","Data collected according to protocol version C",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vD","Data collected according to protocol version D",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vE","Data collected according to protocol version E",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vF","Data collected according to protocol version F",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vG","Data collected according to protocol version G",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vH","Data collected according to protocol version H",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vJ","Data collected according to protocol version J",2019-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vK","Data collected according to protocol version K",2022-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vM","Data collected according to protocol version M",2023-01-01T00:00:00Z,
"vst.shape","half-sphere","half-sphere",2012-01-01T00:00:00Z,
"vst.shape","oblate half-sphere","oblate half-sphere",2012-01-01T00:00:00Z,
"vst.shape","cone","cone",2012-01-01T00:00:00Z,
"vst.shape","inverted cone","inverted cone",2012-01-01T00:00:00Z,
"vst.shape","cylinder","cylinder",2012-01-01T00:00:00Z,
"vst.shape","ellipsoid or sphere","ellipsoid or sphere",2012-01-01T00:00:00Z,
"vst.shape","vine","vine",2012-01-01T00:00:00Z,
"vst.shape","columnar","columnar",2012-01-01T00:00:00Z,
"vst.shape","pad","Pad forming growth pattern (e.g. Opuntia spp.)",2012-01-01T00:00:00Z,
"vst.subplot","21_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_400","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","23_400","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","24_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_400","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","33_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_400","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_400","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","48_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","51_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_1_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_10_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_25_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_3_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_50_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","24_1_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","24_10_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","24_25_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","24_3_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","24_50_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_1_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_1_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_10_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_10_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_25_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_25_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_3_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_3_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_50_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_1_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_1_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_10_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_10_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_25_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_25_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_3_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_3_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","33_1_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","33_10_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","33_25_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","33_3_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","33_50_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_1_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_10_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_25_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_3_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_50_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_1_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_1_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_10_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_10_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_25_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_25_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_3_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_3_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_1_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_1_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_10_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_10_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_25_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_25_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_3_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_3_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_50_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","48_1_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","48_10_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","48_25_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","48_3_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","48_50_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","51_1_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","51_10_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","51_25_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","51_3_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","51_50_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_400","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","23_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","23_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_100","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","51_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","33_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","24_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","48_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","unknown_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","31_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
