uid,namedLocation,date,eventID,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
2e673120-dbbc-4fd7-9025-72b62625a830,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00355,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
713ecde3-e648-44c2-aa0c-17e4fb2539cb,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,41,2.9,260.6,"",NEON.PLA.D01.HARV.00371,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",dcrandall@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
6ce9c8ab-b288-49a7-8d76-fa4da3a07920,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,41,3.6,220.3,"",NEON.PLA.D01.HARV.00380,"","","","",NEON.DOC.000987vC,"",BEAL2,Betula alleghaniensis Britton,species,"","",,"","",dcrandall@neoninc.org,bvierra@neoninc.org,,20240412T025749Z,PROVISIONAL
e5294635-d1a8-40a0-8bb8-167f21d4b770,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,24.4,283,"",NEON.PLA.D01.HARV.00382,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Wacuna@battelleecology.org,jwebber@field-ops.org,,20240412T025749Z,PROVISIONAL
300f8d44-5b97-4117-bebf-276a039b8dde,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00381,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
a51b779c-2e95-4a88-96c6-0715a4db7bfe,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,41,2.4,232,"",NEON.PLA.D01.HARV.00365A,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",dcrandall@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
30c0630e-15b8-429c-8be5-d0072e6fe28b,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00378,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
a0c4eb7a-ebc7-4b14-b347-3d7c83a60de5,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,21,21.1,48.4,"",NEON.PLA.D01.HARV.00373,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",dcrandall@neoninc.org,bvierra@neoninc.org,,20240412T025749Z,PROVISIONAL
c35c4154-3457-4e8d-87d7-79ecec16b6e4,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,21,22.2,49.9,"",NEON.PLA.D01.HARV.00379,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",dcrandall@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
76a4d783-14b3-4a89-8c51-09141ce1b9de,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,23,5.7,310.3,"",NEON.PLA.D01.HARV.00372,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
a3d1b07a-312b-426e-937f-2f098ef0c36b,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00377,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
17aefad8-d964-4512-a6ac-ffddd64fe0a3,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00354,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",dcrandall@neoninc.org,bvierra@neoninc.org,,20240412T025749Z,PROVISIONAL
2ce0aa97-f57c-453f-8115-70f125b32517,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,26.9,296.3,"",NEON.PLA.D01.HARV.00376,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",dcrandall@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
beda17eb-6ec7-4a06-b605-1d0e242c8e64,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00384,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
1399280c-cea8-40c0-8f08-a30c244e01ad,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00383,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
3c559321-1679-4ed4-8c9d-98e422e9580a,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,21,22.1,34,"",NEON.PLA.D01.HARV.00370,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",dcrandall@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
eb3d46b6-1a22-49b6-ba45-8bbd059e5167,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00435,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
ac228c9f-8cab-4304-b24c-888f5680c0fd,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00363,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
3e2e30d9-2776-4ab0-9383-77349dbc508b,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,23,6.3,283.6,"",NEON.PLA.D01.HARV.00391,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
5e3faaaa-398f-48a0-aec0-ad9c9e4b5768,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,23,5.8,326.9,"",NEON.PLA.D01.HARV.00360,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
32b1dde4-eccb-4735-8f20-290ecbf20f93,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,23.3,278.6,"",NEON.PLA.D01.HARV.00375,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
dad9b910-916d-4196-a049-66097a596904,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,24.5,274.5,"",NEON.PLA.D01.HARV.00357,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",David Crandall,"",,20240412T025749Z,PROVISIONAL
be692eb6-80be-4248-8e58-49cf70fe1295,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00361,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
82e063b6-1963-40f2-ad06-79ba77a74663,HARV_050.basePlot.vst,2013-12-19,vst_HARV_2013,D01,HARV,HARV_050,25,26.8,296.8,"",NEON.PLA.D01.HARV.00376A,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",dcrandall@neoninc.org,bvierra@neoninc.org,,20240412T025749Z,PROVISIONAL
4dc54f9b-ec52-4d41-979a-265dbe53c9e3,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,2.7,155.8,"",NEON.PLA.D01.HARV.00806,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
cc93cc71-a601-4789-b6f6-962e9ee2746d,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00871,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
49335856-f198-459b-acd2-ae45d621a5c8,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00870,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
3485293b-b736-43fb-b6fa-0a094fbd915a,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00802,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
8e403d6f-be14-4ee8-8558-c44b53e31072,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,5,178,"",NEON.PLA.D01.HARV.00808,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
94d1cdc5-de00-4ce8-bfb3-5caa6ff5a724,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00804,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
5b5fcc48-7dd4-42dc-9f90-c02687e7cfbc,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,10,63.2,"",NEON.PLA.D01.HARV.00814,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
5e00d55b-9132-4c84-b85b-fbf161e1866a,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,17.1,49.9,"",NEON.PLA.D01.HARV.00803,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",bvierra@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
01b6a754-251b-4b8c-aeeb-5933660454e2,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00820,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
16174287-6d35-4296-bf53-16dfd31158d2,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,5,212.9,"",NEON.PLA.D01.HARV.00813,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
cca6aab8-342a-4070-ba88-d629d805463a,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00816,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
63b26a6f-df4a-4730-a84f-6ba891ced0f4,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,5.2,182.3,"",NEON.PLA.D01.HARV.00810,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
2d85a7f2-5948-4079-bc4a-60cc906f2164,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00832,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
2d91cf0b-9ced-417b-a242-a9b60ac2b5e4,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00875,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
9c5a143f-cfb1-4170-bfde-51888db3956e,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,8,78.3,"",NEON.PLA.D01.HARV.00818,"","","","",NEON.DOC.000987vC,"",BEPAP,Betula papyrifera Marshall var. papyrifera,variety,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
b9041714-dfd3-485f-97ba-f69a0b431f97,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00835,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
c20ce2bd-cc2c-4dd2-adbf-687d8e7596f5,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00817,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
139908fc-e8d3-4e4d-af6e-72d76d7f9347,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,3.3,351.3,"",NEON.PLA.D01.HARV.00826,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
af6ebddb-6c55-437e-8da4-212755a40950,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,14.8,47,"",NEON.PLA.D01.HARV.00805,"","","","",NEON.DOC.000987vC,"",BEPAP,Betula papyrifera Marshall var. papyrifera,variety,"","",,"","",bvierra@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
bcd4600c-5ec0-4b9c-8436-7351df98b99c,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00821,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
edfcf5e7-c4a3-43bd-9e1e-e50d44d385c7,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,17.4,48,"",NEON.PLA.D01.HARV.00801,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",bvierra@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
5f515b8a-71e2-416f-9c89-895493dfa009,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00882,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
2e5cc3c1-c7e4-43b3-b439-231e6a078308,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,6.3,88.4,"",NEON.PLA.D01.HARV.00872,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
9406d661-d139-493a-b698-9ab80cc4711b,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00880,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
ca84baae-b7fb-4b61-bf6c-f20bfbae8dac,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,41,16.6,208.5,"",NEON.PLA.D01.HARV.00809,"","","","",NEON.DOC.000987vC,"",BEPAP,Betula papyrifera Marshall var. papyrifera,variety,"","",,"","",bvierra@neoninc.org,critz@neoninc.org,,20240412T025749Z,PROVISIONAL
58150749-00d9-4720-b09b-384b065ca0b7,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00833,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
acc65b34-a1ec-4c87-83cc-fc1b93f2ec5b,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,11.1,64.9,"",NEON.PLA.D01.HARV.00812,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
0c81404a-275b-44e1-a459-8f01fddd9d9f,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,2.3,347.5,"",NEON.PLA.D01.HARV.00830,"","","","",NEON.DOC.000987vC,"",BEAL2,Betula alleghaniensis Britton,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
61a5f373-e4ac-4b44-983d-4a92f5a96da2,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,4.1,275.7,"",NEON.PLA.D01.HARV.00837,"","","","",NEON.DOC.000987vC,"",BELE,Betula lenta L.,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
c7733a67-0f05-4bc6-b209-55f9f9ebb19a,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,1.9,319.9,"",NEON.PLA.D01.HARV.00831,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
e4b99ce6-f75d-41c4-a9e6-0b51641585ce,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,2.9,178.7,"",NEON.PLA.D01.HARV.00807,"","","","",NEON.DOC.000987vC,"",ACRU,Acer rubrum L.,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
00671201-e134-45b0-b4ff-dc9f826f3827,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00873,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
021ca561-b66e-48e4-aa4b-427c3e49e09e,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00874,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
4cd1fffa-c5dc-45af-8067-a590b2129ef9,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00838,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
10ed59fe-1d88-4123-9f3c-970720c48f83,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00878,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
049566e9-084f-4593-878b-813d54cf1625,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,21,4.9,90.2,"",NEON.PLA.D01.HARV.00876,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
67755091-4750-41f5-b1b4-5dbb9218855c,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,31,3.6,340.8,"",NEON.PLA.D01.HARV.00828,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",Ben Vierra,"",,20240412T025749Z,PROVISIONAL
d8f605c3-6dec-4318-8c24-d1a2304dfd01,HARV_050.basePlot.vst,2013-12-23,vst_HARV_2013,D01,HARV,HARV_050,,,,"",NEON.PLA.D01.HARV.00879,"","","","",NEON.DOC.000987vC,"",TSCA,Tsuga canadensis (L.) Carrière,species,"","",,"","",critz@neoninc.org,kgodfrey@battelleecology.org,,20240412T025749Z,PROVISIONAL
