,Year,Plot,Biomass.g.m2,Species
77,2014,12,0.62,Andropogon gerardi
78,2014,12,24.6,Carex sp.
79,2014,12,8.05,Koeleria cristata
80,2014,12,0.33,Lespedeza capitata
81,2014,12,7.77,Lupinus perennis
82,2014,12,0.67,Miscellaneous litter
83,2014,12,5.47,Monarda fistulosa
84,2014,12,5.48,Petalostemum candidum
85,2014,12,2.08,Petalostemum villosum
86,2014,12,11.83,Poa pratensis
87,2014,12,0.14,Polygonum convolvulus
88,2014,12,10.37,Schizachyrium scoparium
89,2014,12,8.35,Solidago rigida
90,2014,12,100.43,Sorghastrum nutans
91,2014,14,0.45,Aristida basiramea
92,2014,14,5.58,Asclepias tuberosa
93,2014,14,0.03,Bouteloua gracilis
94,2014,14,2.15,Cyperus sp.
95,2014,14,0.38,Festuca sp.
96,2014,14,0.02,Hedeoma hispida
97,2014,14,170.12,Liatris aspera
98,2014,14,1.67,Miscellaneous litter
99,2014,14,0.04,Polygonum tenue
100,2014,15,0.27,Bouteloua gracilis
101,2014,15,4.13,Cyperus sp.
102,2014,15,30.82,Liatris aspera
103,2014,15,0.03,Lupinus perennis
104,2014,15,17.62,Miscellaneous litter
105,2014,15,14.03,Petalostemum candidum
106,2014,15,64.48,Petalostemum purpureum
107,2014,15,8.3,Petalostemum villosum
108,2014,15,12.83,Poa pratensis
109,2014,15,0.08,Schizachyrium scoparium
110,2014,15,0.01,Silene antirrhina
111,2014,15,110.75,Solidago rigida
112,2014,15,1.3,Sporobolus cryptandrus
113,2014,15,0.06,Taraxicum officinalis
114,2014,16,1.12,Aristida basiramea
115,2014,16,29.07,Asclepias tuberosa
116,2014,16,0.08,Bouteloua gracilis
117,2014,16,0.37,Crepis tectorum
118,2014,16,2.45,Cyperus sp.
119,2014,16,0.03,Digitaria sp.
120,2014,16,0.02,Festuca sp.
121,2014,16,0.17,Hedeoma hispida
122,2014,16,0.92,Lespedeza capitata
123,2014,20,0.28,Achillea millefolium(lanulosa)
124,2014,20,0.23,Agropyron repens
125,2014,20,0.22,Ambrosia artemisiifolia elatior
126,2014,20,271.47,Amorpha canescens
127,2014,20,0.03,Artemisia (caudata) campestris
128,2014,20,2.6,Cyperus sp.
129,2014,20,0.4,Erigeron canadensis
130,2014,20,0.93,Hedeoma hispida
131,2014,20,0.05,Lespedeza capitata
132,2014,20,0.09,Linaria vulgaris
133,2014,20,0.43,Miscellaneous litter
134,2014,20,0.02,Mollugo verticillata
135,2014,20,0.03,Petalostemum candidum
136,2014,20,0.23,Physalis virginiana
137,2014,20,0.28,Poa pratensis
138,2014,20,1.32,Polygonum tenue
139,2014,20,0.08,Silene antirrhina
140,2014,20,0.08,Taraxicum officinalis
141,2014,22,0.34,Bouteloua curtipendula
142,2014,22,9.25,Bouteloua gracilis
143,2014,22,1.48,Eragrostis spectabilis
144,2014,22,40.73,Koeleria cristata
145,2014,22,54.23,Liatris aspera
146,2014,22,17.03,Miscellaneous litter
147,2014,22,1.22,Monarda fistulosa
148,2014,22,2.37,Panicum virgatum
149,2014,22,36.37,Petalostemum candidum
150,2014,22,0.17,Petalostemum purpureum
151,2014,22,61.7,Petalostemum villosum
152,2014,22,2.43,Poa pratensis
153,2014,22,4.1,Schizachyrium scoparium
154,2014,22,118.83,Solidago rigida
155,2014,24,0.45,Agrostis scabra
156,2014,24,0.4,Aristida basiramea
157,2014,24,0.29,Artemisia (caudata) campestris
158,2014,24,0.38,Cyperus sp.
159,2014,24,0.15,Festuca sp.
160,2014,24,0.03,Hedeoma hispida
161,2014,24,1.23,Koeleria cristata
162,2014,24,0.04,Lupinus perennis
163,2014,24,0.11,Miscellaneous litter
164,2014,24,0.65,Mosses
165,2014,24,2.82,Panicum virgatum
166,2014,24,0.04,Poa pratensis
167,2014,24,0.43,Polygonum tenue
168,2014,24,40.9,Schizachyrium scoparium
169,2014,24,0.06,Silene antirrhina
170,2014,24,0.14,Solidago rigida
171,2014,26,5.2,Agrostis scabra
172,2014,26,4.05,Andropogon gerardi
173,2014,26,0.37,Aristida basiramea
174,2014,26,0.67,Bouteloua curtipendula
175,2014,26,2.85,Bouteloua gracilis
176,2014,26,2.22,Cyperus sp.
177,2014,26,3,Koeleria cristata
178,2014,26,0.01,Lepidium densiflorum
179,2014,26,0.28,Miscellaneous litter
180,2014,26,100.3,Petalostemum purpureum
181,2014,26,8.55,Poa pratensis
182,2014,26,0.03,Schizachyrium scoparium
183,2014,26,22.6,Sorghastrum nutans
184,2014,26,0.47,Sporobolus cryptandrus
185,2014,26,0.06,Taraxicum officinalis
186,2014,27,4.33,Achillea millefolium(lanulosa)
187,2014,27,14.75,Amorpha canescens
188,2014,27,0.55,Cyperus sp.
189,2014,27,0.52,Koeleria cristata
190,2014,27,30.12,Lespedeza capitata
191,2014,27,45.43,Liatris aspera
192,2014,27,0.03,Lupinus perennis
193,2014,27,19.4,Miscellaneous litter
194,2014,27,14.07,Monarda fistulosa
195,2014,27,0.08,Panicum oligosanthes
196,2014,27,0.42,Panicum virgatum
197,2014,27,45.77,Petalostemum purpureum
198,2014,27,0.42,Physalis virginiana
199,2014,27,12.98,Poa pratensis
200,2014,27,52.33,Schizachyrium scoparium
201,2014,27,16.65,Sorghastrum nutans
202,2014,27,0.16,Sporobolus cryptandrus
203,2014,27,0.07,Taraxicum officinalis
204,2014,28,2.45,Agropyron repens
205,2014,28,0.48,Agrostis scabra
206,2014,28,0.77,Aristida basiramea
207,2014,28,0.18,Berteroa incana
208,2014,28,0.09,Chenopodium leptophyllum
209,2014,28,0.06,Crepis tectorum
210,2014,28,8.25,Cyperus sp.
211,2014,28,0.43,Erigeron canadensis
212,2014,28,0.18,Hedeoma hispida
213,2014,28,38.47,Lespedeza capitata
214,2014,28,26.75,Miscellaneous litter
215,2014,28,88.6,Petalostemum purpureum
216,2014,28,7.05,Polygonum tenue
217,2014,28,1.82,Rumex acetosella
218,2014,28,1.22,Silene antirrhina
219,2014,28,0.1,Taraxicum officinalis
220,2014,29,0.52,Agropyron repens
221,2014,29,0.08,Agrostis scabra
222,2014,29,0.52,Aristida basiramea
223,2014,29,0.16,Crepis tectorum
224,2014,29,2.58,Cyperus sp.
225,2014,29,0.03,Eragrostis spectabilis
226,2014,29,43.42,Lespedeza capitata
227,2014,29,1.87,Miscellaneous litter
228,2014,29,0.38,Physalis virginiana
229,2014,29,2.23,Rumex acetosella
230,2014,29,0.06,Schizachyrium scoparium
231,2014,30,0.63,Achillea millefolium(lanulosa)
232,2014,30,73.35,Amorpha canescens
233,2014,30,118.43,Andropogon gerardi
234,2014,30,5.55,Asclepias tuberosa
235,2014,30,0.24,Bouteloua gracilis
236,2014,30,0.83,Cyperus sp.
237,2014,30,1.82,Koeleria cristata
238,2014,30,8.73,Lespedeza capitata
239,2014,30,3.32,Liatris aspera
240,2014,30,8.02,Lupinus perennis
241,2014,30,32.6,Miscellaneous litter
242,2014,30,3.85,Monarda fistulosa
243,2014,30,0.33,Panicum virgatum
244,2014,30,19.4,Poa pratensis
245,2014,30,0.12,Polygonum convolvulus
246,2014,30,13.8,Schizachyrium scoparium
247,2014,30,23.28,Solidago rigida
248,2014,30,30.42,Sorghastrum nutans
249,2014,30,0.1,Taraxicum officinalis
250,2014,31,0.62,Baptisia leucantha
251,2014,31,0.05,Cyperus sp.
252,2014,31,0.14,Festuca sp.
253,2014,31,0.1,Lespedeza capitata
254,2014,31,1.03,Miscellaneous litter
255,2014,31,0.06,Polygonum tenue
256,2014,31,33.48,Schizachyrium scoparium
257,2014,33,0.37,Agrostis scabra
258,2014,33,32.98,Andropogon gerardi
259,2014,33,0.92,Bouteloua gracilis
260,2014,33,1.75,Cyperus sp.
261,2014,33,0.16,Festuca sp.
262,2014,33,0.08,Koeleria cristata
263,2014,33,60.38,Liatris aspera
264,2014,33,9.93,Miscellaneous litter
265,2014,33,23.12,Petalostemum candidum
266,2014,33,24.88,Petalostemum villosum
267,2014,33,4,Poa pratensis
268,2014,33,0.03,Polygonum tenue
269,2014,33,1.4,Schizachyrium scoparium
270,2014,33,0.04,Silene antirrhina
271,2014,33,1.27,Sorghastrum nutans
272,2014,33,1.18,Sporobolus cryptandrus
273,2014,34,6.4,Achillea millefolium(lanulosa)
274,2014,34,20.42,Amorpha canescens
275,2014,34,97.8,Andropogon gerardi
276,2014,34,0.19,Bouteloua gracilis
277,2014,34,0.43,Cyperus sp.
278,2014,34,3.48,Koeleria cristata
279,2014,34,0.22,Lespedeza capitata
280,2014,34,16.97,Lupinus perennis
281,2014,34,2.52,Miscellaneous litter
282,2014,34,0.09,Panicum oligosanthes
283,2014,34,1.67,Panicum virgatum
284,2014,34,10.08,Petalostemum purpureum
285,2014,34,13.93,Poa pratensis
286,2014,34,1.22,Rumex acetosella
287,2014,34,58.8,Schizachyrium scoparium
288,2014,34,37.25,Sorghastrum nutans
289,2014,34,0.08,Taraxicum officinalis
290,2014,35,44.38,Andropogon gerardi
291,2014,35,1.32,Cyperus sp.
292,2014,35,0.88,Koeleria cristata
293,2014,35,66.63,Lespedeza capitata
294,2014,35,27.78,Liatris aspera
295,2014,35,17.52,Lupinus perennis
296,2014,35,7.03,Miscellaneous litter
297,2014,35,0.93,Panicum virgatum
298,2014,35,21.72,Petalostemum purpureum
299,2014,35,19.85,Poa pratensis
300,2014,35,17.45,Schizachyrium scoparium
301,2014,35,10.8,Sorghastrum nutans
302,2014,44,2.65,Agropyron repens
303,2014,44,0.75,Agrostis scabra
304,2014,44,0.43,Aristida basiramea
305,2014,44,0.07,Bouteloua gracilis
306,2014,44,1.37,Cyperus sp.
307,2014,44,2.03,Eragrostis spectabilis
308,2014,44,0.57,Koeleria cristata
309,2014,44,0.45,Leptoloma cognatum
310,2014,44,3.35,Liatris aspera
311,2014,44,7.45,Miscellaneous litter
312,2014,44,0.17,Panicum oligosanthes
313,2014,44,57.8,Panicum virgatum
314,2014,44,25.77,Petalostemum candidum
315,2014,44,32.42,Petalostemum purpureum
316,2014,44,61.75,Petalostemum villosum
317,2014,44,11.63,Poa pratensis
318,2014,44,0.12,Silene antirrhina
319,2014,44,2.25,Sorghastrum nutans
320,2014,44,5.38,Sporobolus cryptandrus
321,2014,45,57.13,Andropogon gerardi
322,2014,45,2.3,Cyperus sp.
323,2014,45,0.52,Lespedeza capitata
324,2014,45,97.95,Liatris aspera
325,2014,45,1.77,Miscellaneous litter
326,2014,45,50.73,Petalostemum purpureum
327,2014,45,0.08,Polygonum tenue
328,2014,45,1.22,Schizachyrium scoparium
329,2014,45,0.05,Solidago rigida
330,2014,45,0.05,Sporobolus cryptandrus
331,2014,46,5.48,Achillea millefolium(lanulosa)
332,2014,46,25.53,Amorpha canescens
333,2014,46,52.95,Andropogon gerardi
334,2014,46,0.58,Cyperus sp.
335,2014,46,2.68,Koeleria cristata
336,2014,46,34.05,Liatris aspera
337,2014,46,44.02,Lupinus perennis
338,2014,46,5.63,Miscellaneous litter
339,2014,46,3.5,Monarda fistulosa
340,2014,46,0.01,Panicum oligosanthes
341,2014,46,8.77,Petalostemum purpureum
342,2014,46,33.8,Poa pratensis
343,2014,46,30.02,Schizachyrium scoparium
344,2014,46,1.42,Sorghastrum nutans
345,2014,46,0.06,Taraxicum officinalis
346,2014,48,2.27,Aristida basiramea
347,2014,48,5.73,Bouteloua curtipendula
348,2014,48,0.12,Bouteloua gracilis
349,2014,48,3.73,Cyperus sp.
350,2014,48,36.18,Koeleria cristata
351,2014,48,4.4,Leptoloma cognatum
352,2014,48,110.23,Lespedeza capitata
353,2014,48,0.47,Linaria vulgaris
354,2014,48,0.97,Lupinus perennis
355,2014,48,2.7,Miscellaneous litter
356,2014,48,0.03,Physalis virginiana
357,2014,48,2.38,Poa pratensis
358,2014,48,0.29,Sisyrinchium campestre
359,2014,48,6.17,Sporobolus cryptandrus
360,2014,50,3.35,Achillea millefolium(lanulosa)
361,2014,50,15.05,Andropogon gerardi
362,2014,50,7.42,Bouteloua gracilis
363,2014,50,2.03,Cyperus sp.
364,2014,50,0.02,Euphorbia glyptosperma
365,2014,50,41.28,Koeleria cristata
366,2014,50,47.28,Lespedeza capitata
367,2014,50,8.5,Miscellaneous litter
368,2014,50,0.23,Panicum virgatum
369,2014,50,4.08,Petalostemum candidum
370,2014,50,37.58,Petalostemum purpureum
371,2014,50,16.08,Petalostemum villosum
372,2014,50,0.03,Physalis virginiana
373,2014,50,28.9,Poa pratensis
374,2014,50,2.48,Polygonum tenue
375,2014,50,3.95,Schizachyrium scoparium
376,2014,50,0.5,Silene antirrhina
377,2014,50,0.98,Sorghastrum nutans
378,2014,50,4.1,Sporobolus cryptandrus
379,2014,50,0.08,Taraxicum officinalis
380,2014,53,0.12,Achillea millefolium(lanulosa)
381,2014,53,1.88,Aristida basiramea
382,2014,53,0.1,Bouteloua curtipendula
383,2014,53,1.82,Bouteloua gracilis
384,2014,53,2.62,Cyperus sp.
385,2014,53,0.06,Erigeron canadensis
386,2014,53,1.38,Koeleria cristata
387,2014,53,105.3,Lespedeza capitata
388,2014,53,1.17,Miscellaneous litter
389,2014,53,6.33,Poa pratensis
390,2014,53,1.83,Schizachyrium scoparium
391,2014,53,65.72,Sorghastrum nutans
392,2014,53,0.14,Sporobolus cryptandrus
393,2014,56,1.1,Agropyron repens
394,2014,56,0.75,Andropogon gerardi
395,2014,56,0.09,Bouteloua curtipendula
396,2014,56,1.22,Bouteloua gracilis
397,2014,56,0.03,Crepis tectorum
398,2014,56,0.5,Cyperus sp.
399,2014,56,1.42,Linaria vulgaris
400,2014,56,39.58,Lupinus perennis
401,2014,56,0.2,Panicum oligosanthes
402,2014,56,0.05,Panicum perlongum
403,2014,56,0.16,Physalis virginiana
404,2014,56,37.17,Poa pratensis
405,2014,56,0.02,Polygonum convolvulus
406,2014,56,108.78,Schizachyrium scoparium
407,2014,56,0.02,Sisyrinchium campestre
408,2014,56,0.58,Sorghastrum nutans
409,2014,56,1.69,Taraxicum officinalis
410,2014,57,10.23,Achillea millefolium(lanulosa)
411,2014,57,7.18,Andropogon gerardi
412,2014,57,0.45,Bouteloua gracilis
413,2014,57,51.53,Koeleria cristata
414,2014,57,64.37,Lespedeza capitata
415,2014,57,2.37,Miscellaneous litter
416,2014,57,16.92,Monarda fistulosa
417,2014,57,0.01,Panicum oligosanthes
418,2014,57,28.58,Petalostemum candidum
419,2014,57,19.52,Petalostemum villosum
420,2014,57,15,Poa pratensis
421,2014,57,27.22,Schizachyrium scoparium
422,2014,57,42.82,Solidago rigida
423,2014,58,0.25,Achillea millefolium(lanulosa)
424,2014,58,0.19,Agrostis scabra
425,2014,58,26.3,Andropogon gerardi
426,2014,58,0.67,Bouteloua gracilis
427,2014,58,1.23,Cyperus sp.
428,2014,58,3.55,Koeleria cristata
429,2014,58,0.67,Lespedeza capitata
430,2014,58,5.47,Lupinus perennis
431,2014,58,1.73,Monarda fistulosa
432,2014,58,0.26,Physalis virginiana
433,2014,58,0.02,Rumex acetosella
434,2014,58,1.6,Schizachyrium scoparium
435,2014,58,0.27,Silene antirrhina
436,2014,58,138.1,Solidago rigida
437,2014,58,22.88,Sorghastrum nutans
438,2014,58,0.1,Sporobolus cryptandrus
439,2014,62,3.6,Achillea millefolium(lanulosa)
440,2014,62,1.7,Agropyron repens
441,2014,62,2.6,Aristida basiramea
442,2014,62,0.01,Bouteloua gracilis
443,2014,62,0.75,Crepis tectorum
444,2014,62,1.2,Cyperus sp.
445,2014,62,0.47,Erigeron canadensis
446,2014,62,1.15,Koeleria cristata
447,2014,62,1.03,Leptoloma cognatum
448,2014,62,11.55,Lespedeza capitata
449,2014,62,5.38,Miscellaneous litter
450,2014,62,3.68,Panicum virgatum
451,2014,62,35.45,Petalostemum candidum
452,2014,62,69.73,Petalostemum villosum
453,2014,62,20.97,Poa pratensis
454,2014,62,0.38,Silene antirrhina
455,2014,62,5.63,Sporobolus cryptandrus
456,2014,67,3.43,Agropyron repens
457,2014,67,10.1,Andropogon gerardi
458,2014,67,0.02,Cyperus sp.
459,2014,67,0.97,Eragrostis spectabilis
460,2014,67,0.63,Lactuca biennis
461,2014,67,0.38,Lespedeza capitata
462,2014,67,18.23,Lupinus perennis
463,2014,67,0.7,Miscellaneous litter
464,2014,67,21.7,Monarda fistulosa
465,2014,67,50.43,Poa pratensis
466,2014,67,0.09,Polygonum convolvulus
467,2014,67,10,Schizachyrium scoparium
468,2014,67,15.38,Solidago rigida
469,2014,67,135.55,Sorghastrum nutans
470,2014,68,2.18,Achillea millefolium(lanulosa)
471,2014,68,39.32,Andropogon gerardi
472,2014,68,1.22,Bouteloua gracilis
473,2014,68,0.92,Cyperus sp.
474,2014,68,30.53,Lespedeza capitata
475,2014,68,58.63,Liatris aspera
476,2014,68,50.58,Lupinus perennis
477,2014,68,0.95,Miscellaneous litter
478,2014,68,7.28,Monarda fistulosa
479,2014,68,50.63,Petalostemum purpureum
480,2014,68,43.13,Poa pratensis
481,2014,68,14.67,Schizachyrium scoparium
482,2014,68,16.15,Solidago rigida
483,2014,68,47.48,Sorghastrum nutans
484,2014,68,0.04,Taraxicum officinalis
485,2014,69,52.3,Achillea millefolium(lanulosa)
486,2014,69,0.07,Agrostis scabra
487,2014,69,1.23,Aristida basiramea
488,2014,69,0.42,Asclepias tuberosa
489,2014,69,0.93,Crepis tectorum
490,2014,69,2.77,Cyperus sp.
491,2014,69,1.32,Digitaria sp.
492,2014,69,0.02,Euphorbia glyptosperma
493,2014,69,0.04,Festuca sp.
494,2014,69,0.1,Hedeoma hispida
495,2014,69,0.01,Lepidium densiflorum
496,2014,69,0.15,Leptoloma cognatum
497,2014,69,0.07,Lespedeza capitata
498,2014,69,6.72,Miscellaneous litter
499,2014,69,0.01,Sporobolus cryptandrus
500,2014,70,0.19,Agropyron repens
501,2014,70,125.78,Andropogon gerardi
502,2014,70,0.14,Crepis tectorum
503,2014,70,0.15,Cyperus sp.
504,2014,70,18.33,Lupinus perennis
505,2014,70,0.48,Miscellaneous litter
506,2014,70,0.01,Panicum oligosanthes
507,2014,70,31.63,Poa pratensis
508,2014,70,19.05,Schizachyrium scoparium
509,2014,70,3.48,Sorghastrum nutans
510,2014,70,0.98,Sporobolus cryptandrus
511,2014,70,0.24,Taraxicum officinalis
512,2014,74,3.17,Achillea millefolium(lanulosa)
513,2014,74,0.1,Agrostis scabra
514,2014,74,0.13,Aristida basiramea
515,2014,74,0.57,Bouteloua curtipendula
516,2014,74,0.06,Crepis tectorum
517,2014,74,1.67,Cyperus sp.
518,2014,74,8.75,Koeleria cristata
519,2014,74,1.05,Miscellaneous litter
520,2014,74,0.53,Panicum perlongum
521,2014,74,13.92,Panicum virgatum
522,2014,74,57.95,Petalostemum candidum
523,2014,74,4.48,Petalostemum purpureum
524,2014,74,72.75,Petalostemum villosum
525,2014,74,14.78,Poa pratensis
526,2014,74,0.2,Rumex acetosella
527,2014,74,4.47,Schizachyrium scoparium
528,2014,74,43.18,Sorghastrum nutans
529,2014,74,0.92,Sporobolus cryptandrus
530,2014,75,0.68,Agrostis scabra
531,2014,75,0.38,Aristida basiramea
532,2014,75,0.29,Bouteloua gracilis
533,2014,75,0.04,Crepis tectorum
534,2014,75,1.93,Cyperus sp.
535,2014,75,3.83,Koeleria cristata
536,2014,75,90.1,Panicum virgatum
537,2014,75,0.31,Schizachyrium scoparium
538,2014,75,9.12,Sorghastrum nutans
539,2014,75,3.25,Sporobolus cryptandrus
540,2014,81,8.43,Achillea millefolium(lanulosa)
541,2014,81,1.03,Agrostis scabra
542,2014,81,3.28,Bouteloua gracilis
543,2014,81,0.4,Cyperus sp.
544,2014,81,1.52,Koeleria cristata
545,2014,81,58.7,Lespedeza capitata
546,2014,81,55.43,Liatris aspera
547,2014,81,27.53,Miscellaneous litter
548,2014,81,27.67,Petalostemum purpureum
549,2014,81,0.03,Physalis virginiana
550,2014,81,0.6,Poa pratensis
551,2014,81,0.57,Polygonum tenue
552,2014,81,2,Rumex acetosella
553,2014,81,26.65,Schizachyrium scoparium
554,2014,81,0.13,Sorghastrum nutans
555,2014,82,56.62,Andropogon gerardi
556,2014,82,1.37,Cyperus sp.
557,2014,82,64.02,Lespedeza capitata
558,2014,82,97.52,Liatris aspera
559,2014,82,7.92,Lupinus perennis
560,2014,82,4.38,Miscellaneous litter
561,2014,82,0.58,Panicum oligosanthes
562,2014,82,0.72,Panicum virgatum
563,2014,82,0.04,Petalostemum purpureum
564,2014,82,20.77,Poa pratensis
565,2014,82,50.8,Schizachyrium scoparium
566,2014,82,4.35,Sorghastrum nutans
567,2014,83,0.9,Agropyron repens
568,2014,83,0.62,Agrostis scabra
569,2014,83,4.05,Aristida basiramea
570,2014,83,0.6,Asclepias syriaca
571,2014,83,0.03,Crepis tectorum
572,2014,83,2.67,Cyperus sp.
573,2014,83,5.03,Digitaria sp.
574,2014,83,0.4,Erigeron canadensis
575,2014,83,0.28,Euphorbia glyptosperma
576,2014,83,4.35,Lupinus perennis
577,2014,83,0.6,Mollugo verticillata
578,2014,83,0.05,Poa pratensis
579,2014,83,6.92,Rumex acetosella
580,2014,83,0.03,Taraxicum officinalis
581,2014,87,0.11,Agrostis scabra
582,2014,87,3.35,Andropogon gerardi
583,2014,87,1.47,Aristida basiramea
584,2014,87,0.03,Chenopodium leptophyllum
585,2014,87,0.53,Cyperus sp.
586,2014,87,0.01,Erigeron canadensis
587,2014,87,0.01,Euphorbia glyptosperma
588,2014,87,0.24,Koeleria cristata
589,2014,87,1.92,Schizachyrium scoparium
590,2014,87,0.12,Silene antirrhina
591,2014,87,33.55,Sorghastrum nutans
592,2014,87,0.47,Sporobolus cryptandrus
593,2014,89,17.58,Achillea millefolium(lanulosa)
594,2014,89,24.05,Amorpha canescens
595,2014,89,46.68,Andropogon gerardi
596,2014,89,0.53,Lespedeza capitata
597,2014,89,1.7,Liatris aspera
598,2014,89,21.05,Lupinus perennis
599,2014,89,2.7,Miscellaneous litter
600,2014,89,0.02,Panicum oligosanthes
601,2014,89,2.4,Panicum virgatum
602,2014,89,28.03,Petalostemum purpureum
603,2014,89,35,Poa pratensis
604,2014,89,29.78,Schizachyrium scoparium
605,2014,89,42.5,Sorghastrum nutans
606,2014,89,0.32,Taraxicum officinalis
607,2014,92,3.13,Andropogon gerardi
608,2014,92,0.02,Aristida basiramea
609,2014,92,0.05,Bouteloua curtipendula
610,2014,92,0.77,Cyperus sp.
611,2014,92,4.45,Eragrostis spectabilis
612,2014,92,0.08,Erigeron canadensis
613,2014,92,1.57,Lupinus perennis
614,2014,92,0.19,Miscellaneous litter
615,2014,92,0.93,Panicum virgatum
616,2014,92,0.87,Petalostemum purpureum
617,2014,92,0.01,Rumex acetosella
618,2014,92,1.42,Schizachyrium scoparium
619,2014,92,69.28,Sorghastrum nutans
620,2014,92,9.9,Sporobolus cryptandrus
621,2014,92,0.21,Taraxicum officinalis
622,2014,93,41.97,Agropyron repens
623,2014,93,0.43,Agrostis scabra
624,2014,93,18.67,Andropogon gerardi
625,2014,93,0.43,Bouteloua gracilis
626,2014,93,0.52,Coreopsis palmata
627,2014,93,1.55,Crepis tectorum
628,2014,93,1.07,Erigeron canadensis
629,2014,93,0.92,Koeleria cristata
630,2014,93,4,Lupinus perennis
631,2014,93,9.2,Lychnis alba
632,2014,93,31.7,Miscellaneous litter
633,2014,93,0.04,Panicum perlongum
634,2014,93,5.58,Panicum virgatum
635,2014,93,276.5,Petalostemum purpureum
636,2014,93,11.97,Poa pratensis
637,2014,93,0.16,Polygonum convolvulus
638,2014,93,0.58,Silene antirrhina
639,2014,93,0.09,Solidago rigida
640,2014,93,0.35,Sorghastrum nutans
641,2014,93,0.38,Taraxicum officinalis
642,2014,93,0.07,Trifolium repens
643,2014,94,0.02,Achillea millefolium(lanulosa)
644,2014,94,0.43,Agropyron repens
645,2014,94,2.22,Cyperus sp.
646,2014,94,0.22,Erigeron canadensis
647,2014,94,0.14,Euphorbia glyptosperma
648,2014,94,147.95,Lespedeza capitata
649,2014,94,0.28,Lupinus perennis
650,2014,94,2.52,Miscellaneous litter
651,2014,94,10.82,Rumex acetosella
652,2014,98,2.73,Achillea millefolium(lanulosa)
653,2014,98,133.3,Andropogon gerardi
654,2014,98,0.04,Cyperus sp.
655,2014,98,0.82,Koeleria cristata
656,2014,98,35.87,Lupinus perennis
657,2014,98,0.35,Physalis virginiana
658,2014,98,31.48,Poa pratensis
659,2014,98,0.72,Rumex acetosella
660,2014,98,2.87,Schizachyrium scoparium
661,2014,98,2.23,Sorghastrum nutans
662,2014,98,1.22,Tragopogon dubius (major)
663,2014,104,10.4,Achillea millefolium(lanulosa)
664,2014,104,1.68,Andropogon gerardi
665,2014,104,1.37,Bouteloua gracilis
666,2014,104,0.08,Cyperus sp.
667,2014,104,2.77,Koeleria cristata
